id;name;phone_number;email
1;Aruba Chair portals;77760;Jaycee.Yost37@hotmail.com
2;navigate redefine;82916;Keshawn46@hotmail.com
3;infrastructures;27340;Anabelle_Blanda81@gmail.com
4;Producer Agent;55543;Odessa_Reinger84@yahoo.com
5;Ergonomic Falls;12915;Velma.Goodwin@gmail.com
6;SMTP;75699;Alysa11@yahoo.com
7;Moroccan Dirham;52030;Olin.Sipes@yahoo.com
8;connecting Planner Refined;79181;Lamar.Collier@yahoo.com
9;transmit Credit Card Account;70407;Crawford61@hotmail.com
10;Director;60808;Louie.Hudson@yahoo.com
